SMILES,ionicSMILES,Modifier,Behaviour Type,Positive?,1500,2000,2500,3000,3250,3500,3750,4000
CC(CN(C)C)CN1c2ccccc2CCc3ccccc13,CC(CN(C)C)C[NH+]1c2ccccc2CCc3ccccc13,0,2,0,0.65,1.23,2.56,4.33,5.6,7.13,8.87,10.77
CC(CN1CC(C)OC(C)C1)Cc2ccc(cc2)C(C)(C)C,CC(C[NH+]1CC(C)OC(C)C1)Cc2ccc(cc2)C(C)(C)C,0,2,0,0.62,1.54,3.08,5.52,7.17,9.05,10.92,13.19
CC(CN1CC(C)OC(C)C1)Cc2ccc(cc2)C(C)(C)C,CC(C[NH+]1CC(C)OC(C)C1)Cc2ccc(cc2)C(C)(C)C,1,2,0,0.79,1.3,2.92,4.55,5.83,7.6,9.37,11.2
CC(COc1ccc(Oc2ccccc2)cc1)Oc3ccccn3,CC(COc1ccc(Oc2ccccc2)cc1)Oc3cccc[nH+]3,0,2,0,0.15,0.72,1.73,3.09,3.93,5.05,6.18,7.87
CC(COc1ccc(Oc2ccccc2)cc1)Oc3ccccn3,CC(COc1ccc(Oc2ccccc2)cc1)Oc3cccc[nH+]3,1,1,0,-0.44,-0.78,-0.85,-0.91,-0.45,0.23,0.91,2.09
CC(N)Cc1ccc(F)cc1,CC[NH2+]Cc1ccc(F)cc1,0,1,0,-0.16,-1.25,-1.82,-2.23,-2.19,-1.9,-1.31,-0.37
CC(N)Cc1cccc2OCOc12,CC([NH3+])Cc1cccc2OCOc12,0,1,0,-0.19,-0.47,-0.7,-0.63,-0.34,0.14,0.83,1.83
CC(N)Cc1cccc2OCOc12,CC([NH3+])Cc1cccc2OCOc12,1,0,0,-2.7,-5.3,-10.1,-16,-19.3,-22.8,-26.3,-29.3
CC(N)Cc1ccccc1,CC([NH3+])Cc1ccccc1,0,1,0,-0.49,-1.12,-1.7,-1.93,-1.75,-1.25,-0.39,0.84
CC(N)Cc1ccccc1,CC([NH3+])Cc1ccccc1,1,0,0,-4,-7.5,-13.9,-22,-26.5,-30.8,-34.6,-37.7
CC/C(c1ccccc1)=C(c2ccccc2)/c3ccc(OCCN(C)C)cc3,CC/C(c1ccccc1)=C(c2ccccc2)/c3ccc(OCC[NH+](C)C)cc3,0,2,0,0.59,1.52,2.99,5.13,6.52,8.06,9.85,11.98
CC/C(c1ccccc1)=C(c2ccccc2)/c3ccc(OCCN(C)C)cc3,CC/C(c1ccccc1)=C(c2ccccc2)/c3ccc(OCC[NH+](C)C)cc3,1,1,0,0.05,-0.5,-1.8,-3.1,-3.7,-3.8,-3.8,-2.4
CC[C@@]1(NC(=O)NC1=O)c2ccccc2,CC[C@@]1(NC(=O)NC1=[OH+])c2ccccc2,0,2,0,0.51,0.73,1.4,2.47,2.58,2.89,3.36,3.82
CC[C@H]([C@@H](C)CN(C)C)c1cccc(O)c1,CC[C@@]1(NC(=O)NC1=[OH+])c2ccccc2,0,2,0,0.33,0.86,1.89,3.75,5.08,6.69,8.61,10.84
CC[C@H]([C@@H](C)CN(C)C)c1cccc(O)c1,CC[C@@]1(NC(=O)NC1=[OH+])c2ccccc2,1,2,0,0.2,-0.1,0.4,2.1,3.1,4.5,6.1,8
CC[C@H](C)[C@H](N)C(O)=O,CC[C@H](C)[C@H](N)C(O)=[OH+],0,1,0,-0.4,-1.29,-2.37,-3.26,-3.52,-3.5,-3.19,-2.55
CC[C@H](C)[C@H](N)C(O)=O,CC[C@H](C)[C@H](N)C(O)=[OH+],1,0,0,-5.15,-9.6,-18.4,-29.3,-35.2,-41.3,-47.3,-52.1
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=[OH+])O3)[C@@H]12,0,2,0,0.58,1.75,3.21,4.73,5.96,7.44,9.09,10.99
CC[S](=O)c1c(N)n(nc1C#N)c2c(Cl)cc(cc2Cl)C(F)(F)F,CC[S](=[OH+])c1c(N)n(nc1C#N)c2c(Cl)cc(cc2Cl)C(F)(F)F,0,2,0,0.27,0.97,2.17,3.66,4.48,5.52,6.57,7.79
CC[S](=O)c1c(N)n(nc1C#N)c2c(Cl)cc(cc2Cl)C(F)(F)F,CC[S](=[OH+])c1c(N)n(nc1C#N)c2c(Cl)cc(cc2Cl)C(F)(F)F,1,0,0,-1.34,-2.18,-4.22,-6.27,-7.44,-8.48,-9.52,-10.26
CC1(C)CC\C(=C/c2ccc(Cl)cc2)C1(O)Cn3cncn3,CC1(C)CC\C(=C/c2ccc(Cl)cc2)C1(O)Cn3cnc[nH+]3,0,2,0,0.44,0.92,1.66,2.87,3.64,4.42,5.65,7
CC1(C)CC\C(=C/c2ccc(Cl)cc2)C1(O)Cn3cncn3,CC1(C)CC\C(=C/c2ccc(Cl)cc2)C1(O)Cn3cnc[nH+]3,1,0,0,-0.57,-1.1,-1.88,-2.65,-3.03,-3.42,-3.98,-4.74
CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn3cncn3,CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn3cnc[nH+]3,0,2,0,0.52,1.37,3.05,5.39,6.78,8.46,10.39,12.68
CC1(C)CNC(=NC1)N\N=C(/C=C/c2ccc(cc2)C(F)(F)F)\C=C\c3ccc(cc3)C(F)(F)F,CC1(C)CNC(=NC1)N\[NH+]=C(/C=C/c2ccc(cc2)C(F)(F)F)\C=C\c3ccc(cc3)C(F)(F)F,0,2,0,0.43,0.94,1.77,3.02,3.84,4.76,5.83,7.06
CC1(C)CNC(=NC1)N\N=C(/C=C/c2ccc(cc2)C(F)(F)F)\C=C\c3ccc(cc3)C(F)(F)F,CC1(C)CNC(=NC1)N\[NH+]=C(/C=C/c2ccc(cc2)C(F)(F)F)\C=C\c3ccc(cc3)C(F)(F)F,1,2,0,0.45,0.66,1.26,1.85,2.3,1.41,1.74,2.28
CC1(CCCCC1)C(=O)Nc2ccc(O)c(Cl)c2Cl,CC1(CCCCC1)C(=[OH+])Nc2ccc(O)c(Cl)c2Cl,0,2,0,0.6,1.23,2.25,3.79,4.79,5.97,7.46,9.04
CC1(CCCCC1)C(=O)Nc2ccc(O)c(Cl)c2Cl,CC1(CCCCC1)C(=[OH+])Nc2ccc(O)c(Cl)c2Cl,1,0,0,-2.26,-3.69,-6.64,-9.59,-11.47,-13.42,-15.59,-17.69
CC1(OC(=O)N(Nc2ccccc2)C1=O)c3ccc(Oc4ccccc4)cc3,CC1(OC(=O)N(Nc2ccccc2)C1=[OH+])c3ccc(Oc4ccccc4)cc3,0,2,0,0.59,1.25,2.35,4.06,5.22,6.63,8.04,9.03
CC1(OC(=O)N(Nc2ccccc2)C1=O)c3ccc(Oc4ccccc4)cc3,CC1(OC(=O)N(Nc2ccccc2)C1=[OH+])c3ccc(Oc4ccccc4)cc3,1,0,0,0.11,0.09,-0.16,-0.41,-0.7,-0.89,-1.09,-1.36
CC1=C(CCCO1)C(=O)Nc2ccccc2,CC1=C(CCCO1)C(=[OH+])Nc2ccccc2,0,2,0,0.26,0.65,1.42,2.83,3.84,5.08,6.61,8.5
CC1=C(CCCO1)C(=O)Nc2ccccc2,CC1=C(CCCO1)C(=[OH+])Nc2ccccc2,1,1,0,-3.19,-5.56,-9.07,-12.59,-13.52,-14.45,-14.53,-14.01
CC1=C(SCCO1)C(=O)Nc2ccccc2,CC1=C(SCCO1)C(=[OH+])Nc2ccccc2,0,2,0,0.45,1.04,2.17,3.59,4.39,5.52,6.65,8
CC1=C(SCCO1)C(=O)Nc2ccccc2,CC1=C(SCCO1)C(=[OH+])Nc2ccccc2,1,1,0,-2.9,-5.05,-9.22,-13.39,-15.2,-17.09,-18.1,-17.89
CC1=C2C(=CC=C1)C=CC(=N2)C,CC1=C2C(=CC=C1)C=CC(=[NH+]2)C,0,2,0,0.1,0.2,0.7,1.9,3.02,4.5,6.31,8.4
CC1=CC2=C(C=C1)N=C(C=C2)C,CC1=CC2=C(C=C1)[NH+]=C(C=C2)C,0,2,0,0.2,0.2,0.6,1.9,3.03,4.5,6.32,8.5
CC1=CNC(=O)NC1=O,CC1=CNC(=O)NC1=[OH+],0,1,0,-0.86,-1.79,-2.73,-3.47,-3.81,-3.86,-3.55,-2.76
CC1=CNC(=O)NC1=O,CC1=CNC(=O)NC1=[OH+],1,0,0,-5.1,-9.3,-16,-24.6,-27.2,-28.3,-29.8,-29.7
CC1=NC2=C(C=C1)C=C(C=C2)[N+](=O)[O-],CC1=[NH+]C2=C(C=C1)C=C(C=C2)[N+](=O)[O-],0,1,0,0.6,0,-0.8,-0.6,-0.16,0.5,1.44,2.7
CC1=NC2=C(C=C1)C=C(C=C2)N,CC1=[NH+]C2=C(C=C1)C=C(C=C2)N,0,2,0,0,-0.1,0.2,1.2,2.04,3.2,4.79,6.9
CC1=[NH+]C2=C(C=C1)C=C(C=C2)OC,CC1=[NH+]C2=C(C=C1)C=C(C=C2)OC,0,2,0,0.3,0.4,0.8,2.1,3.19,4.6,6.33,8.4
CC1=NC2=C(C=C1)C=CC(=C2)Cl ,CC1=[NH+]C2=C(C=C1)C=CC(=C2)Cl ,0,2,0,0.4,0.3,0.1,0.9,1.75,2.9,4.35,6.1
CC1=NC2=C(C=CC=C2[N+](=O)[O-])C=C1,CC1=[NH+]C2=C(C=CC=C2[N+](=O)[O-])C=C1,0,2,0,-0.1,-0.2,-0.2,0.5,1.29,2.4,3.81,5.5
CC1=NC2=C(C=CC=C2Cl)C=C1,CC1=[NH+]C2=C(C=CC=C2Cl)C=C1,0,2,0,0.1,0.2,0.6,1.7,2.69,4,5.61,7.5
CC1=NC2=C(C=CC=C2N)C=C1,CC1=[NH+]C2=C(C=CC=C2N)C=C1,0,2,0,0.2,0.1,0.1,1.2,2.1,3.3,4.9,7
CC1=NC2=C(C=CC=C2OC)C=C1,CC1=[NH+]C2=C(C=CC=C2OC)C=C1,0,2,0,0.2,0.5,1.2,2.6,3.78,5.3,7.12,9.2
CC1=NN(C(=O)N1C(F)F)c2cc(N[S](C)(=O)=O)c(Cl)cc2Cl,CC1=NN(C(=[OH+])N1C(F)F)c2cc(N[S](C)(=O)=O)c(Cl)cc2Cl,0,2,0,0.34,1.15,2.64,4.6,5.82,7.61,9.27,11.52
CC1=NNC(=O)N(C1)\N=C\c2cccnc2,CC1=NNC(=[OH+])N(C1)\N=C\c2cccnc2,0,2,0,0,-0.13,-0.2,0.09,0.47,1,1.8,2.79
CC1=NNC(=O)N(C1)\N=C\c2cccnc2,CC1=NNC(=[OH+])N(C1)\N=C\c2cccnc2,1,0,0,-1.89,-3.4,-6.29,-9.18,-11.36,-14.06,-16.96,-19.98
Cc1cc(C)nc(N[S](=O)(=O)c2ccc(N)cc2)n1,Cc1cc(C)nc(N[S](=O)(=O)c2ccc(N)cc2)[nH+]1,0,2,0,0.44,0.86,1.71,3.14,4.05,5.31,6.81,8.48
Cc1cc(C)nc(N[S](=O)(=O)c2ccc(N)cc2)n1,Cc1cc(C)nc(N[S](=O)(=O)c2ccc(N)cc2)[nH+]1,1,2,0,0.05,-0.4,-0.6,0.1,1.1,2.2,3.4,4.9
Cc1cc(C)nc(Nc2ccccc2)n1,Cc1cc(C)nc(Nc2ccccc2)[nH+]1,0,2,0,0.3,0.81,1.74,3.39,4.59,6.1,7.89,10.06
Cc1cc(C)nc(Nc2ccccc2)n1,Cc1cc(C)nc(Nc2ccccc2)[nH+]1,1,1,0,-2.29,-4.15,-5.11,-6.08,-5.69,-4.94,-3.56,-1.78
Cc1cc(nc(Nc2ccccc2)n1)C3CC3,Cc1cc(nc(Nc2ccccc2)[nH+]1)C3CC3,0,2,0,0.45,0.95,1.93,3.5,4.68,6.42,7.92,9.71
Cc1cc(nc(Nc2ccccc2)n1)C3CC3,Cc1cc(nc(Nc2ccccc2)[nH+]1)C3CC3,1,1,0,-1.28,-2.36,-2.67,-2.99,-2.42,-1.57,-0.38,1.41
Cc1cc(O)c2nc(C)ccc2c1,Cc1cc(O)c2[nH+]c(C)ccc2c1,0,2,0,-0.2,-0.2,0.1,1,1.81,2.9,4.29,6
Cc1cc(O)c2nc(C)ccc2c1,Cc1cc(O)c2[nH+]c(C)ccc2c1,1,1,0,-3.8,-8.6,-14.4,-19.7,-21,-22,-21.5,-20.6
Cc1cc2nc3cc(C)c(N)cc3[n+](c4ccccc4)c2cc1N,Cc1cc2nc3cc(C)c(N)cc3[n+](c4ccccc4)c2cc1N,0,2,0,0.31,0.86,1.82,3.24,4.14,5.31,6.71,8.33
Cc1cc2nc3cc(C)c(N)cc3[n+](c4ccccc4)c2cc1N,Cc1cc2nc3cc(C)c(N)cc3[n+](c4ccccc4)c2cc1N,1,2,0,1.2,1.6,2.5,3.8,4.7,5.8,7.1,8.5
Cc1ccc2c(C)ccc(O)c2n1,Cc1ccc2c(C)ccc(O)c2[nH+]1,0,2,0,-0.2,-0.2,0,0.8,1.47,2.4,3.65,5.3
Cc1ccc2c(C)ccc(O)c2n1,Cc1ccc2c(C)ccc(O)c2[nH+]1,1,1,0,-3.7,-8.1,-13.7,-18.5,-19.9,-20.4,-20.4,-18.7
Cc1ccc2c(ccc(O)c2n1)[N+]([O-])=O,Cc1ccc2c(ccc(O)c2[nH+]1)[N+]([O-])=O,0,1,0,0.2,-0.1,0,-0.4,-0.34,0,0.59,1.4
Cc1ccc2c(ccc(O)c2n1)[N+]([O-])=O,Cc1ccc2c(ccc(O)c2[nH+]1)[N+]([O-])=O,1,0,0,-2.7,-5.9,-10.7,-17.5,-21.5,-25.2,-28.6,-31.5
Cc1ccc2c(ccc(O)c2n1)C#N,Cc1ccc2c(ccc(O)c2[nH+]1)C#N,0,1,0,0.1,0.1,-0.2,-0.3,-0.14,0.2,0.77,1.6
Cc1ccc2c(ccc(O)c2n1)C#N,Cc1ccc2c(ccc(O)c2[nH+]1)C#N,1,0,0,-3,-6.5,-12.1,-19.6,-23.5,-27.3,-30.8,-33.2
Cc1ccc2c(Cl)ccc(O)c2n1,Cc1ccc2c(Cl)ccc(O)c2[nH+]1,0,2,0,0.1,0.1,0.3,0.5,0.91,1.6,2.57,3.8
Cc1ccc2c(Cl)ccc(O)c2n1,Cc1ccc2c(Cl)ccc(O)c2[nH+]1,1,0,0,-3.2,-7.3,-13.5,-20.2,-23.1,-25.3,-26.6,-27.3
Cc1ccc2c(F)ccc(O)c2n1,Cc1ccc2c(F)ccc(O)c2[nH+]1,0,1,0,-0.2,-0.4,-0.5,-0.3,0.08,0.7,1.6,2.8
Cc1ccc2c(F)ccc(O)c2n1,Cc1ccc2c(F)ccc(O)c2[nH+]1,1,1,0,-3.8,-8.6,-15.4,-22.4,-25.1,-27.2,-28.3,-28.1
Cc1ccc2cc(cc(O)c2n1)[N+]([O-])=O,Cc1ccc2cc(cc(O)c2[nH+]1)[N+]([O-])=O,0,1,0,0.2,-0.1,-0.3,-1.2,-1.29,-1,-0.39,0.5
Cc1ccc2cc(cc(O)c2n1)[N+]([O-])=O,Cc1ccc2cc(cc(O)c2[nH+]1)[N+]([O-])=O,1,0,0,-3,-6.3,-11.4,-18.5,-22.6,-26.7,-30.5,-33.8
Cc1ccc2cc(cc(O)c2n1)C#N,Cc1ccc2cc(cc(O)c2[nH+]1)C#N,0,1,0,0.1,0,-0.8,-1.3,-1.23,-0.9,-0.27,0.7
Cc1ccc2cc(cc(O)c2n1)C#N,Cc1ccc2cc(cc(O)c2[nH+]1)C#N,1,0,0,-3,-6.7,-12.3,-20.1,-24.4,-28.7,-32.4,-35.6
Cc1ccc2cc(Cl)cc(O)c2n1,Cc1ccc2cc(Cl)cc(O)c2[nH+]1,0,2,0,0.1,-0.1,-0.3,0.1,0.58,1.3,2.35,3.8
Cc1ccc2cc(Cl)cc(O)c2n1,Cc1ccc2cc(Cl)cc(O)c2[nH+]1,1,0,0,-3,-7,-13.3,-20.7,-24.2,-27.2,-29.6,-30.7
Cc1ccc2cc(F)cc(O)c2n1,Cc1ccc2cc(F)cc(O)c2[nH+]1,0,1,0,0,-0.3,-0.8,-0.5,-0.03,0.7,1.75,3.2
Cc1ccc2cc(F)cc(O)c2n1,Cc1ccc2cc(F)cc(O)c2[nH+]1,1,0,0,-3.3,-7.4,-14.1,-22.2,-25.9,-29,-31.5,-32.7
Cc1ccc2ccc(C#N)c(O)c2n1,Cc1ccc2ccc(C#N)c(O)c2[nH+]1,0,1,0,0.2,0.1,-0.5,-0.4,-0.1,0.4,1.18,2.3
Cc1ccc2ccc(C#N)c(O)c2n1,Cc1ccc2ccc(C#N)c(O)c2[nH+]1,1,0,0,-2.7,-6,-11.5,-19.4,-23.4,-27.1,-30.4,-33
Cc1ccc2ccc(c(O)c2n1)[N+]([O-])=O,Cc1ccc2ccc(c(O)c2[nH+]1)[N+]([O-])=O,0,1,0,0,-0.3,-0.7,-0.65,-0.39,0.1,0.9,2.1
Cc1ccc2ccc(c(O)c2n1)[N+]([O-])=O,Cc1ccc2ccc(c(O)c2[nH+]1)[N+]([O-])=O,1,1,0,-3.2,-7.1,-11.8,-15.4,-16.7,-17.1,-16.9,-15.9
Cc1ccc2ccc(C)c(O)c2n1,Cc1ccc2ccc(C)c(O)c2[nH+]1,0,2,0,-0.1,-0.1,0.2,0.9,1.59,2.6,3.96,5.7
Cc1ccc2ccc(C)c(O)c2n1,Cc1ccc2ccc(C)c(O)c2[nH+]1,1,1,0,-3.7,-7.1,-9.9,-10.9,-10.7,-10.1,-8.4,-6
Cc1ccc2ccc(Cl)c(O)c2n1,Cc1ccc2ccc(Cl)c(O)c2[nH+]1,0,2,0,0,0,0.1,0.7,1.37,2.3,3.48,4.9
Cc1ccc2ccc(Cl)c(O)c2n1,Cc1ccc2ccc(Cl)c(O)c2[nH+]1,1,1,0,-3.7,-7.4,-11,-13,-13.2,-13.1,-11.8,-10.2
Cc1ccc2ccc(F)c(O)c2n1,Cc1ccc2ccc(F)c(O)c2[nH+]1,0,2,0,-0.2,-0.4,-0.4,0,0.56,1.4,2.52,3.9
Cc1ccc2ccc(F)c(O)c2n1,Cc1ccc2ccc(F)c(O)c2[nH+]1,1,0,0,-4,-9,-15.4,-21.3,-23.4,-24.4,-24.3,-23.4
Cc1ccc2ccccc2n1,Cc1ccc2ccccc2[nH+]1,0,1,0,-0.4,-0.6,-0.7,-0.4,0.06,0.8,1.89,3.4
Cc1ccc2ccccc2n1,Cc1ccc2ccccc2[nH+]1,0,2,0,0.43,1.11,2,3.4,4.53,6.21,7.68,9.94
Cc1ccc2ccccc2n1,Cc1ccc2ccccc2[nH+]1,1,1,0,-4.1,-9.4,-16.2,-22.3,-24.7,-26.2,-26,-25
Cc1ccc2ccccc2n1,Cc1ccc2ccccc2[nH+]1,1,1,0,-2.62,-3.99,-6.96,-9.93,-11.5,-14.2,-13.22,-8.13
Cc1cccc2sc3nncn3c12,Cc1cccc2sc3nnc[NH+]3c12,0,2,0,0.2,0.21,0.08,0.53,1.15,1.86,2.91,4.22
Cc1cccc2sc3nncn3c12,Cc1cccc2sc3nnc[NH+]3c12,1,0,0,-2.08,-3.56,-7.39,-11.22,-14.48,-17.99,-21.72,-24.79
CC1CCCN1C(=O)C=C,CC1CCCN1C(=[OH+])C=C,0,2,0,0.6,0.9,1.9,4.4,5.53,6.7,8.27,10.6
CC1CCCN1C(=O)C=C,CC1CCCN1C(=[OH+])C=C,1,0,0,-3.7,-7.7,-13.1,-21.8,-27.28,-32.9,-38.02,-42
Cc1ccnc(N[S](=O)(=O)c2ccc(N)cc2)n1,Cc1ccnc(N[S](=O)(=O)c2ccc(N)cc2)[nH+]1,0,2,0,0.28,0.69,1.45,2.68,3.53,4.64,6.03,7.6
Cc1ccnc(N[S](=O)(=O)c2ccc(N)cc2)n1,Cc1ccnc(N[S](=O)(=O)c2ccc(N)cc2)[nH+]1,1,1,0,-0.95,-2.1,-3.5,-3.6,-3.5,-1.9,-0.8,0.6
CC1COC(Cn2cncn2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl,CC1COC(Cn2cnc[nH+]2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl,0,2,0,0,0.25,0.85,2.13,2.99,3.81,5.51,7.55
CC1COC(Cn2cncn2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl,CC1COC(Cn2cnc[nH+]2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl,1,0,0,-0.29,-0.65,-1.32,-1.99,-2.24,-2.53,-2.85,-3.24
Cc1ncc(CO)c(C=O)c1O,Cc1[nH+]cc(CO)c(C=O)c1O,0,1,0,0.4,-0.24,-0.82,-0.49,-0.13,0.37,1.63,3
Cc1ncc(CO)c(C=O)c1O,Cc1[nH+]cc(CO)c(C=O)c1O,1,0,0,-4.4,-8.2,-15.4,-23.9,-28.1,-31.6,-34.4,-34.7
Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12,Cc1[nH+]cc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12,0,2,0,0.46,1,1.98,3.53,4.5,5.74,7.15,8.83
Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12,Cc1[nH+]cc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12,1,0,0,-0.25,-1,-2.6,-5.4,-7,-8.2,-9.4,-9.8
Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,Cc1[nH+]nc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,0,2,0,0.32,0.94,1.95,3.4,4.3,5.53,6.96,8.59
Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,Cc1[nH+]nc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,1,0,0,0.4,0.2,-0.9,-2.8,-4.2,-5.9,-7.6,-9.2
Cc1onc(c1NC(=O)Nc2ccncc2)c3c(Cl)cccc3Cl,Cc1onc(c1NC(=[OH+])Nc2ccncc2)c3c(Cl)cccc3Cl,0,2,0,0.8,1.3,2.2,3.4,4.1,4.9,5.85,7
Cc1onc(c1NC(=O)Nc2ccncc2)c3c(Cl)cccc3Cl,Cc1onc(c1NC(=[OH+])Nc2ccncc2)c3c(Cl)cccc3Cl,1,0,0,0,-0.3,-0.9,-1.5,-1.8,-2.1,-2.5,-3
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,CCC(=[OH+])C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,0,2,0,0.54,1.27,2.48,4.29,5.49,6.9,8.59,10.31
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,CCC(=[OH+])C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,1,2,0,1.45,2,3.1,5,6.1,7.4,8.9,10.6
CCC(=O)N(C1CCN(CC1)CCc2ccccc2)c3ccccc3,CCC(=[OH+])N(C1CCN(CC1)CCc2ccccc2)c3ccccc3,0,2,0,0.59,1.46,2.88,4.99,6.39,7.95,9.78,11.97
CCC(=O)N(C1CCN(CC1)CCc2ccccc2)c3ccccc3,CCC(=[OH+])N(C1CCN(CC1)CCc2ccccc2)c3ccccc3,1,2,0,0.9,1.1,1.9,3.8,4.9,6.5,8.2,10.1
CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2,CCC(=[OH+])O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2,0,2,0,0.61,1.33,2.57,4.43,5.63,7.1,8.86,10.74
CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2,CCC(=[OH+])O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2,1,2,0,1.25,1.6,2.5,4.3,5.5,6.9,8.3,10
CCC(C)(C)C(=O)OC1=C(C(=O)OC12CCCCC2)c3ccc(Cl)cc3Cl,CCC(C)(C)C(=O)OC1=C(C(=[OH+])OC12CCCCC2)c3ccc(Cl)cc3Cl,0,2,0,0.35,1.09,2.41,4.15,5.19,6.56,7.96,9.54
CCC(C)(C)C(=O)OC1=C(C(=O)OC12CCCCC2)c3ccc(Cl)cc3Cl,CCC(C)(C)C(=O)OC1=C(C(=O)OC12CCCCC2)c3ccc(Cl)cc3Cl,1,0,0,-1.45,-2.16,-4.8,-7.44,-9.04,-10.75,-12.42,-13.87
CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=[OH+])CCl,0,2,0,0.6,1.32,2.45,4.24,5.41,6.63,8.14,9.81
CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=[OH+])CCl,1,0,0,-1.38,-2.39,-4.3,-6.22,-7.14,-8,-8.58,-8.9
CCC(C)c1ccccc1OC(=O)NC,CCC(C)c1ccccc1OC(=[OH+])NC,0,2,0,0.09,0.7,1.57,2.86,3.78,5.06,6.35,8.18
CCC(C)c1ccccc1OC(=O)NC,CCC(C)c1ccccc1OC(=[OH+])NC,1,0,0,-3.43,-5.89,-10.52,-15.15,-17.47,-19.2,-20.94,-23.89
CCC1(NC(=O)NC1=O)c2ccc(O)cc2,CCC1(NC(=O)NC1=[OH+])c2ccc(O)cc2,0,2,0,0.43,0.77,1.61,2.96,3.43,4.01,4.69,5.54
CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12,CCc1cccc2c3CCOC(CC)(CC(O)=[OH+])c3[nH]c12,0,2,0,0.53,1.28,2.45,4.2,5.49,6.85,8.56,10.44
CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12,CCc1cccc2c3CCOC(CC)(CC(O)=[OH+])c3[nH]c12,1,1,0,-1,-2.2,-3.9,-4.5,-4.7,-3.9,-2.8,-1.2
CCc1cccc2cc(oc12)C(O)CNC(C)(C)C,CCc1cccc2cc([oH+]c12)C(O)CNC(C)(C)C,0,2,0,0.58,1.34,2.62,4.64,6.03,7.65,9.59,11.79
CCc1cccc2cc(oc12)C(O)CNC(C)(C)C,CCc1cccc2cc([oH+]c12)C(O)CNC(C)(C)C,1,1,0,-0.8,-1.8,-3,-2.7,-2.2,-0.6,0.5,2.3
CCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,CCC1COC(Cn2cnc[nH+]2)(O1)c3ccc(Cl)cc3Cl,0,2,0,0.4,0.87,1.6,2.79,3.59,4.49,5.74,7.02
CCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,CCC1COC(Cn2cnc[nH+]2)(O1)c3ccc(Cl)cc3Cl,1,0,0,-0.84,-1.54,-2.61,-3.68,-4.32,-5.03,-5.99,-7.17
CCc1nn(C)c(C(=O)NCc2ccc(cc2)C(C)(C)C)c1Cl,CCc1nn(C)c(C(=[OH+])NCc2ccc(cc2)C(C)(C)C)c1Cl,0,2,0,0.5,1.15,2.23,3.84,4.82,5.68,6.54,8.23
CCc1nn(C)c(C(=O)NCc2ccc(cc2)C(C)(C)C)c1Cl,CCc1nn(C)c(C(=[OH+])NCc2ccc(cc2)C(C)(C)C)c1Cl,1,0,0,-0.79,-1.5,-2.55,-3.6,-4.19,-4.91,-5.64,-6.49
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=[OH+],0,2,0,0.33,0.83,1.7,3.02,3.85,4.93,6.17,7.67
