SMILES,ionicSMILES,Modifier,Behaviour Type,Positive?,1500,2000,2500,3000,3250,3500,3750,4000
C[C@H](CCC(=O)NCC[S](O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,C[C@H](CCC(=[OH+])NCC[S](O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0,2,0,0.85,1.82,3.42,5.76,7.34,9.24,11.55,14.18
C[C@H](CCC(=O)NCC[S](O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,C[C@H](CCC(=[OH+])NCC[S](O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,1,0,0,0.65,0.5,-0.2,-1.1,-1.6,-1.7,-2.1,-2.2
C[C@H](N)C(O)=O,C[C@H](N)C(O)=[OH+],0,0,0,-0.79,-2.97,-6.08,-9.42,-11.06,-12.46,-13.62,-14.55
C[C@H](N)C(O)=O,C[C@H](N)C(O)=[OH+],1,0,0,-7.65,-13.9,-26.4,-41.3,-52.16,-63.71,-76.78,-91.41
C[C@H]1C(SC(=O)N1C(=O)NC2CCCCC2)c3ccc(Cl)cc3,C[C@H]1C(SC(=[OH+])N1C(=O)NC2CCCCC2)c3ccc(Cl)cc3,0,2,0,0.3,0.95,2.12,3.79,4.82,6.01,7.4,8.93
C[N+](C)(C)CC([O-])=O,C[N+](C)(C)CC(O)=O,0,1,0,-0.6,-1.17,-1.47,-1.22,-0.68,0.23,1.57,3.39
C[N+](C)(C)CC[O-],C[N+](C)(C)CCO,0,1,0,-0.86,-1.51,-1.81,-1.27,-0.44,0.86,2.69,5.08
C[N+](C)(C)CC[O-],C[N+](C)(C)CCO,1,1,0,-6,-9,-14.1,-17.2,-15.9,-16.3,-15.4,-9.3
C[S](=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(c1)[N+]([O-])=O,C[S](=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(c1)[N+](O)=O,0,2,0,0.46,0.88,1.38,2.54,3.39,3.93,4.79,6.04
C[Si](Cn1cncn1)(c2ccc(F)cc2)c3ccc(F)cc3,C[Si](Cn1cnc[nH+]1)(c2ccc(F)cc2)c3ccc(F)cc3,0,2,0,0.47,0.99,1.86,3.23,4.15,5.24,6.42,7.85
C[Si](Cn1cncn1)(c2ccc(F)cc2)c3ccc(F)cc3,C[Si](Cn1cnc[nH+]1)(c2ccc(F)cc2)c3ccc(F)cc3,1,0,0,-0.73,-1.33,-2.09,-2.85,-3.13,-3.47,-3.93,-4.38
C=CC(=O)Nc1ccccn1,C=CC(=O)Nc1ccccn1,0,1,0,-0.3,-1.1,-1.5,-1.1,-0.48,0.5,1.9,3.8
C=CC(=O)Nc1ccccn1,C=CC(=O)Nc1ccccn1,1,1,0,-5.4,-12.1,-20.4,-27,-28.92,-29.8,-29.63,-28.4
C=CC(=O)NCc1ccccc1,C=CC(=[OH+])NCc1ccccc1,0,2,0,0.5,1,1.7,3.2,3.77,4.4,5.48,7.4
C=CC(=O)NCc1ccccc1,C=CC(=[OH+])NCc1ccccc1,1,0,0,-3.6,-8.3,-14.9,-22.9,-27.64,-32.9,-38.61,-44.7
C1(C(C2NCCCC2)C3=CC=CC=C3)=CC=CC=C1,C1(C(C2[N+]CCCC2)C3=CC=CC=C3)=CC=CC=C1,0,2,0,0.38,0.92,1.86,3.43,4.5,5.79,7.33,9.15
C1=CC(=CN=C1)C(=O)N,C1=CC(=C[NH+]=C1)C(=O)N,0,1,0,-1.09,-2.52,-4.21,-5.76,-6.35,-6.66,-6.62,-6.22
C1=CC(=CN=C1)C(=O)N,C1=CC(=C[NH+]=C1)C(=O)N,1,0,0,-4.2,-7.4,-12.6,-21.3,-26.7,-32.1,-37,-41.3
C1=CC(=CN=C1)C(=O)O,C1=CC(=C[NH+]=C1)C(=O)O,0,1,0,-1.06,-2.53,-4.31,-5.95,-6.58,-6.91,-6.92,-6.54
C1=CC(=CN=C1)C(=O)O,C1=CC(=C[NH+]=C1)C(=O)O,1,0,0,-6.65,-12,-20.9,-31.4,-37.6,-43.2,-48.69,-53.08
C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,C1CCN(CC1)C2=NC(=N)[NH+](C(=C2)N)O,0,2,0,0.02,0.11,0.39,1.12,1.76,2.54,3.57,4.87
C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,C1CCN(CC1)C2=NC(=N)[NH+](C(=C2)N)O,1,0,0,-0.85,-2.1,-5.4,-9.8,-12.5,-15.3,-17.8,-19.9
CC#Cc1cc(C)nc(Nc2ccccc2)n1,CC#Cc1cc(C)nc(Nc2ccccc2)[nH+]1,0,2,0,0.39,0.92,1.91,3.65,4.9,6.41,8.15,10.24
